who	1-who
plays	1-plays
luke	B-character.name
on	1-on
star	B-movie.name
wars	I-movie.name
new	I-movie.name
hope	I-movie.name

show	1-show
credits	1-credits
for	1-for
the	B-movie.name
godfather	I-movie.name

who	O
was	O
the	1-the
main	1-main
actor	1-actor
in	1-in
the	B-movie.name
exorcist	I-movie.name

find	O
the	O
female	O
actress	O
from	O
the	O
movie	1-6
she	B-movie.name
's	I-movie.name
the	I-movie.name
man	I-movie.name

who	O
played	1-5
dory	B-character.name
on	1-on
finding	B-movie.name
nemo	I-movie.name

who	O
was	O
the	1-the
female	1-female
lead	1-lead
in	1-in
resident	B-movie.name
evil	I-movie.name

who	O
played	1-5
guido	B-character.name
in	1-in
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
was	1-was
the	1-the
co-star	1-co-star
in	1-in
shoot	B-movie.name
to	I-movie.name
kill	I-movie.name

find	O
the	1-the
guy	1-guy
who	1-who
plays	1-plays
charlie	B-character.name
on	1-on
charlie	B-movie.name
's	I-movie.name
angels	I-movie.name

cast	O
and	O
crew	O
of	O
movie	1-6
the	B-movie.name
campaign	I-movie.name

cast	1-cast
and	1-and
crew	1-crew
of	1-of
the	B-movie.name
campaign	I-movie.name

who	O
plays	O
in	O
the	O
movie	1-6
the	B-movie.name
campaign	I-movie.name

who	1-who
starred	1-starred
in	1-in
the	B-movie.name
campaign	I-movie.name

who	O
were	1-were
the	1-the
crew	1-crew
for	1-for
the	B-movie.name
campaign	I-movie.name

who	O
was	O
the	1-the
lead	1-lead
man	1-man
in	1-in
taxi	B-movie.name
driver	I-movie.name

star	1-star
of	1-of
twilight	B-movie.name

who	1-who
stars	1-stars
in	1-in
vulgaria	B-movie.name

what	O
are	O
the	O
names	O
of	O
female	O
actors	1-actors
who	1-who
played	1-played
in	1-in
lost	B-movie.name

can	O
i	O
see	O
the	O
set	O
list	1-list
and	1-and
cast	1-cast
for	1-for
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

cast	1-cast
and	1-and
crew	1-crew
of	1-of
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

show	O
cast	O
and	O
crew	O
for	O
the	O
movie	1-6
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

what	O
's	1-'s
the	1-the
cast	1-cast
for	1-for
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	1-who
played	1-played
in	1-in
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	1-who
played	1-played
in	1-in
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	1-who
was	1-was
in	1-in
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	1-who
were	1-were
roberto	B-actor.name
benigni	I-actor.name
's	1-'s
costars	1-costars
on	1-on
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

i	O
am	O
looking	O
for	O
the	O
actor	1-actor
that	1-that
played	1-played
in	1-in
pretty	B-movie.name
women	I-movie.name

star	1-star
of	1-of
troy	B-movie.name

who	O
played	1-5
robin	B-character.name
in	1-in
batman	B-movie.name
forever	I-movie.name

find	O
the	1-the
male	1-male
actor	1-actor
from	1-from
dirty	B-movie.name
harry	I-movie.name

show	O
me	O
the	1-the
actor	1-actor
of	1-of
the	1-the
ranam	B-movie.name

rocky	B-movie.name
actor	O

what	1-what
actor	1-actor
played	1-played
in	1-in
the	B-movie.name
amazing	I-movie.name
spider	I-movie.name
